book,author,url,excerpt
Pride and Prejudice,Jane Austen,https://www.gutenberg.org/files/1342/1342-h/1342-h.htm,"“Obstinate, headstrong girl! I am ashamed of you! Is this your gratitude for my attentions to you last spring? Is nothing due to me on that score? Let us sit down. You are to understand, Miss Bennet, that I came here with the determined resolution of carrying my purpose; nor will I be dissuaded from it. I have not been used to submit to any person’s whims. I have not been in the habit of brooking disappointment.” “That will make your ladyship’s situation at present more pitiable; but it will have no effect on me.” “In marrying your nephew, I should not consider myself as quitting that sphere."
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/files/84/84-h/84-h.htm,"The voyage came to an end. We landed, and proceeded to Paris. I soon found that I had overtaxed my strength and that I must repose before I could continue my journey. My father’s care and attentions were indefatigable, but he did not know the origin of my sufferings and sought erroneous methods to remedy the incurable ill. He wished me to seek amusement in society. I abhorred the face of man. Oh, not abhorred! They were my brethren, my fellow beings, and I felt attracted even to the most repulsive among them, as to creatures of an angelic nature and celestial mechanism."
Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/files/11/11-h/11-h.htm,"Alice could think of nothing else to say but “It belongs to the Duchess: you’d better ask her about it.” “She’s in prison,” the Queen said to the executioner: “fetch her here.” And the executioner went off like an arrow. “You can’t think how glad I am to see you again, you dear old thing!” said the Duchess, as she tucked her arm affectionately into Alice’s, and they walked off together. Alice was very glad to find her in such a pleasant temper, and thought to herself that perhaps it was only the pepper that had made her so savage when they met in the kitchen."
The Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/files/1661/1661-h/1661-h.htm,"“Have they thought of looking outside the house?” “Yes, they have shown extraordinary energy. The whole garden has already been minutely examined.” “Now, my dear sir,” said Holmes, “is it not obvious to you now that this matter really strikes very much deeper than either you or the police were at first inclined to think? It appeared to you to be a simple case; to me it seems exceedingly complex. Consider what is involved by your theory. You suppose that your son came down from his bed, went, at great risk, to your dressing-room, opened your bureau, took out your coronet, broke off by main force a small portion of it, went off to some other place, concealed three gems out of the thirty-nine, with such skill that nobody can find them, and then returned with the other thirty-six into the room in which he exposed himself to the greatest danger of being discovered."
"Moby Dick; Or, The Whale",Herman Melville,https://www.gutenberg.org/files/2701/2701-h/2701-h.htm,"“Mrs. Hussey,” said I, “he’s alive at all events; so leave us, if you please, and I will see to this strange affair myself.” Closing the door upon the landlady, I endeavored to prevail upon Queequeg to take a chair; but in vain. There he sat; and all he could do—for all my polite arts and blandishments—he would not move a peg, nor say a single word, nor even look at me, nor notice my presence in the slightest way. I went down to supper. After sitting a long time listening to the long stories of some sailors who had just come from a plum-pudding voyage, as they called it (that is, a short whaling-voyage in a schooner or brig, confined to the north of the line, in the Atlantic Ocean only); after listening to these plum-puddingers till nearly eleven o’clock, I went up stairs to go to bed, feeling quite sure by this time Queequeg must certainly have brought his Ramadan to a termination."
The Prince,Niccolò Machiavelli,https://www.gutenberg.org/files/1232/1232-h/1232-h.htm,"Other poems include Sonetti, Canzoni, Ottave, and Canti carnascialeschi. To the Magnificent Lorenzo Di Piero De’ Medici Those who strive to obtain the good graces of a prince are accustomed to come before him with such things as they hold most precious, or in which they see him take most delight; whence one often sees horses, arms, cloth of gold, precious stones, and similar ornaments presented to princes, worthy of their greatness. Desiring therefore to present myself to your Magnificence with some testimony of my devotion towards you, I have not found among my possessions anything which I hold more dear than, or value so much as, the knowledge of the actions of great men, acquired by long experience in contemporary affairs, and a continual study of antiquity; which, having reflected upon it with great and prolonged diligence, I now send, digested into a little volume, to your Magnificence."
Beowulf: An Anglo-Saxon Epic Poem,J. Lesslie Hall,https://www.gutenberg.org/ebooks/16328.html.images,"Where Hygd to him tendered treasure and kingdom, Rings and dominion: her son she not trusted, To be able to keep the kingdom devised him ’Gainst alien races, on the death of King Higelac. Yet the sad ones succeeded not in persuading the atheling In any way ever, to act as a suzerain To Heardred, or promise to govern the kingdom; Yet with friendly counsel in the folk he sustained him, Gracious, with honor, till he grew to be older, Wielded the Weders. Wide-fleeing outlaws, Ohthere’s sons, sought him o’er the waters: They had stirred a revolt ’gainst the helm of the Scylfings,"
The Picture of Dorian Gray,Oscar Wilde,https://www.gutenberg.org/files/174/174-h/174-h.htm,"“I believe he is in love,” cried Lady Narborough, “and that he is afraid to tell me for fear I should be jealous. He is quite right. I certainly should.” “Dear Lady Narborough,” murmured Dorian, smiling, “I have not been in love for a whole week—not, in fact, since Madame de Ferrol left town.” “How you men can fall in love with that woman!” exclaimed the old lady. “I really cannot understand it.” “It is simply because she remembers you when you were a little girl, Lady Narborough,” said Lord Henry. “She is the one link between us and your short frocks.”"
A Tale of Two Cities,Charles Dickens,https://www.gutenberg.org/files/98/98-h/98-h.htm,"“I said, couldn’t you describe the kind of shoe, for monsieur’s information?” “It is a lady’s shoe. It is a young lady’s walking-shoe. It is in the present mode. I never saw the mode. I have had a pattern in my hand.” He glanced at the shoe with some little passing touch of pride. “And the maker’s name?” said Defarge. Now that he had no work to hold, he laid the knuckles of the right hand in the hollow of the left, and then the knuckles of the left hand in the hollow of the right, and then passed a hand across his bearded chin, and so on in regular changes, without a moment’s intermission."
The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/64317.html.images,"“All right,” broke in Tom quickly, “I’m perfectly willing to go to town. Come on—we’re all going to town.” He got up, his eyes still flashing between Gatsby and his wife. No one moved. “Come on!” His temper cracked a little. “What’s the matter, anyhow? If we’re going to town, let’s start.” His hand, trembling with his effort at self-control, bore to his lips the last of his glass of ale. Daisy’s voice got us to our feet and out on to the blazing gravel drive. “Are we just going to go?” she objected. “Like this? Aren’t we going to let anyone smoke a cigarette first?”"
The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/files/25344/25344-h/25344-h.htm,"The scarlet letter had not done its office. Meanwhile, her mother had accosted the physician. “I would speak a word with you,” said she,—“a word that concerns us much.” “Aha! and is it Mistress Hester that has a word for old Roger Chillingworth?” answered he, raising himself from his stooping posture. “With all my heart! Why, Mistress, I hear good tidings of you on all hands! No longer ago than yester-eve, a magistrate, a wise and godly man, was discoursing of your affairs, Mistress Hester, and whispered me that there had been question concerning you in the council. It was debated whether or no, with safety to the common weal, yonder scarlet letter might be taken off your bosom."
Metamorphosis,Franz Kafka,https://www.gutenberg.org/files/5200/5200-h/5200-h.htm,"It was a simple matter to throw off the covers; he only had to blow himself up a little and they fell off by themselves. But it became difficult after that, especially as he was so exceptionally broad. He would have used his arms and his hands to push himself up; but instead of them he only had all those little legs continuously moving in different directions, and which he was moreover unable to control. If he wanted to bend one of them, then that was the first one that would stretch itself out; and if he finally managed to do what he wanted with that leg, all the others seemed to be set free and would move about painfully."
The Yellow Wallpaper,Charlotte Perkins Gilman,https://www.gutenberg.org/files/1952/1952-h/1952-h.htm,"It is repeated, of course, by the breadths, but not otherwise. Looked at in one way each breadth stands alone, the bloated curves and flourishes—a kind of “debased Romanesque” with delirium tremens—go waddling up and down in isolated columns of fatuity. But, on the other hand, they connect diagonally, and the sprawling outlines run off in great slanting waves of optic horror, like a lot of wallowing seaweeds in full chase. The whole thing goes horizontally, too, at least it seems so, and I exhaust myself in trying to distinguish the order of its going in that direction. They have used a horizontal breadth for a frieze, and that adds wonderfully to the confusion."
Dracula,Bram Stoker,https://www.gutenberg.org/files/345/345-h/345-h.htm,"“25 September, 6 o’clock. “Dear Madam Mina,— “I have read your husband’s so wonderful diary. You may sleep without doubt. Strange and terrible as it is, it is true! I will pledge my life on it. It may be worse for others; but for him and you there is no dread. He is a noble fellow; and let me tell you from experience of men, that one who would do as he did in going down that wall and to that room—ay, and going a second time—is not one to be injured in permanence by a shock. His brain and his heart are all right; this I swear, before I have even seen him; so be at rest."
Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,https://www.gutenberg.org/files/2591/2591-h/2591-h.htm,"He found that the light came from a house which looked smaller than it really was, from the contrast of its height with that of an immense giant who stood in front of it. He thought to himself, ‘If the giant sees me going in, my life will not be worth much.’ However, after a while he summoned up courage and went forward. When the giant saw him, he called out, ‘It is lucky for that you have come, for I have not had anything to eat for a long time. I can have you now for my supper.’ would rather you let that alone,’ said the man, ‘for I do not willingly give myself up to be eaten; if you are wanting food I have enough to satisfy your hunger.’ ‘If that is so,’ replied the giant, will leave you in peace; I only thought of eating you because I had nothing else.’"
A Doll's House : a play,Henrik Ibsen,https://www.gutenberg.org/files/2542/2542-h/2542-h.htm,"Yes, a wonderful thing!—But it is so terrible, Christine; it mustn’t happen, not for all the world. I will go at once and see Krogstad. Don’t go to him; he will do you some harm. There was a time when he would gladly do anything for my sake. He? Where does he live? Don’t be so frightened. We are not coming in; you have locked the door. Are you trying on your dress? Yes, that’s it. I look so nice, Torvald. Yes, but it’s no use. It is hopeless. The letter is lying there in the box."
The Iliad,Homer,https://www.gutenberg.org/files/6130/6130-h/6130-h.htm,"—Simois, railing, &c. —Dryden’s Virgil, i. 142. Dryden’s Virgil, ii. 825. —Why boast we. —“Paradise Lost,” ii. 450. —Each equal weight. —“Paradise Lost,” vi. 245. —“Paradise Lost,” vi. 831 Compare Chapman’s quaint, bold verses:— —Who to Tydeus owes, i.e. Diomed. Compare Tasso:— Gier. Lib. xvi. 25 Compare the description of the dwelling of Sleep in Orlando Furioso, bk. vi. Dryden’s Virgil, Æn. i. 107, seq. Milton has emulated this passage, in describing the couch of our first parents:— —“Paradise Lost,” iv. 700. —He lies protected, “Paradise Lost,” vi. 335, seq. —For, by the gods! who flies. Observe the bold ellipsis of “he cries,” and the transition from the direct to the oblique construction."
Jane Eyre: An Autobiography,Charlotte Brontë,https://www.gutenberg.org/files/1260/1260-h/1260-h.htm,"“I am. God did not give me my life to throw away; and to do as you wish me would, I begin to think, be almost equivalent to committing suicide. Moreover, before I definitively resolve on quitting England, I will know for certain whether I cannot be of greater use by remaining in it than by leaving it.” “What do you mean?” “It would be fruitless to attempt to explain; but there is a point on which I have long endured painful doubt, and I can go nowhere till by some means that doubt is removed.” “I know where your heart turns and to what it clings."
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,https://www.gutenberg.org/files/205/205-h/205-h.htm,"Now the trunks of trees on the bottom, and the old log canoe, and the dark surrounding woods, are gone, and the villagers, who scarcely know where it lies, instead of going to the pond to bathe or drink, are thinking to bring its water, which should be as sacred as the Ganges at least, to the village in a pipe, to wash their dishes with!—to earn their Walden by the turning of a cock or drawing of a plug! That devilish Iron Horse, whose ear-rending neigh is heard throughout the town, has muddied the Boiling Spring with his foot, and he it is that has browsed off all the woods on Walden shore, that Trojan horse, with a thousand men in his belly, introduced by mercenary Greeks! Where is the country’s champion, the Moore of Moore Hill, to meet him at the Deep Cut and thrust an avenging lance between the ribs of the bloated pest?"
A Modest Proposal,Jonathan Swift,https://www.gutenberg.org/files/1080/1080-h/1080-h.htm,"For first, as I have already observed, it would greatly lessen the number of Papists, with whom we are yearly overrun, being the principal breeders of the nation, as well as our most dangerous enemies, and who stay at home on purpose with a design to deliver the kingdom to the Pretender, hoping to take their advantage by the absence of so many good Protestants, who have chosen rather to leave their country, than stay at home and pay tithes against their conscience to an episcopal curate. Secondly, The poorer tenants will have something valuable of their own, which by law may be made liable to a distress, and help to pay their landlord’s rent, their corn and cattle being already seized, and money a thing unknown."
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,https://www.gutenberg.org/files/43/43-h/43-h.htm,"“Jekyll, for instance,” said the lawyer. “He never told you,” cried Mr. Hyde, with a flush of anger. “I did not think you would have lied.” “Come,” said Mr. Utterson, “that is not fitting language.” The other snarled aloud into a savage laugh; and the next moment, with extraordinary quickness, he had unlocked the door and disappeared into the house. The lawyer stood awhile when Mr. Hyde had left him, the picture of disquietude. Then he began slowly to mount the street, pausing every step or two and putting his hand to his brow like a man in mental perplexity. The problem he was thus debating as he walked, was one of a class that is rarely solved."
War and Peace,graf Leo Tolstoy,https://www.gutenberg.org/files/2600/2600-h/2600-h.htm,"“But military men have told me that it is impossible to fight in the town,” said Pierre, “and that the position...” “Well, of course! That’s what we were saying,” replied the first speaker. “And what does he mean by ‘One of my eyes was sore but now I am on the lookout with both’?” asked Pierre. “The count had a sty,” replied the adjutant smiling, “and was very much upset when I told him people had come to ask what was the matter with him. By the by, Count,” he added suddenly, addressing Pierre with a smile, “we heard that you have family troubles and that the countess, your wife...”"
"The Adventures of Tom Sawyer, Complete",Mark Twain,https://www.gutenberg.org/files/74/74-h/74-h.htm,"“I was meaning for the best, Tom. And, Tom, it did do you good.” Tom looked up in her face with just a perceptible twinkle peeping through his gravity. “I know you was meaning for the best, aunty, and so was I with Peter. It done him good, too. I never see him get around so since—” “Oh, go ’long with you, Tom, before you aggravate me again. And you try and see if you can’t be a good boy, for once, and you needn’t take any more medicine.” Tom reached school ahead of time. It was noticed that this strange thing had been occurring every day latterly."
Anthem,Ayn Rand,https://www.gutenberg.org/files/1250/1250-h/1250-h.htm,"“You have worked on this alone?” asked International 1-5537. “Many men in the Homes of the Scholars have had strange new ideas in the past,” said Solidarity 8-1164, “but when the majority of their brother Scholars voted against them, they abandoned their ideas, as all men must.” “This box is useless,” said Alliance 6-7349. “This would wreck the Plans of the World Council,” said Unanimity 2-9913, “and without the Plans of the World Council the sun cannot rise. It took fifty years to secure the approval of all the Councils for the Candle, and to decide upon the number needed, and to re-fit the Plans so as to make candles instead of torches."
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,https://www.gutenberg.org/files/46/46-h/46-h.htm,"Marley’s Ghost Mr. Fezziwig’s Ball Scrooge Extinguishes the Firstof the Three Spirits Scrooge’s Third Visitor Ignorance and Want The Last of the Spirits Scrooge and Bob Cratchit Marley was dead: to begin with. There is no doubt whatever about that. The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner. Scrooge signed it: and Scrooge’s name was good upon ’Change, for anything he chose to put his hand to. Old Marley was as dead as a door-nail. Scrooge never painted out Old Marley’s name. There it stood, years afterwards, above the warehouse door: Scrooge and Marley. The firm was known as Scrooge and Marley. Sometimes people new to the business called Scrooge Scrooge, and sometimes Marley, but he answered to both names."
The Republic,Plato,https://www.gutenberg.org/ebooks/1497.html.images,"Exactly so. And is not that the best-ordered State in which the greatest number of persons apply the terms ‘mine’ and ‘not mine’ in the same way to the same thing? Quite true. Very true, he replied; and I agree with you that in the best-ordered State there is the nearest approach to this common feeling which you describe. Then when any one of the citizens experiences any good or evil, the whole State will make his case their own, and will either rejoice or sorrow with him? Yes, he said, that is what will happen in a well-ordered State."
Crime and Punishment,Fyodor Dostoyevsky,https://www.gutenberg.org/files/2554/2554-h/2554-h.htm,"“A priest,” he articulated huskily. Katerina Ivanovna walked to the window, laid her head against the window frame and exclaimed in despair: “Oh, cursed life!” “A priest,” the dying man said again after a moment’s silence. “They’ve gone for him,” Katerina Ivanovna shouted to him, he obeyed her shout and was silent. With sad and timid eyes he looked for her; she returned and stood by his pillow. He seemed a little easier but not for long. Soon his eyes rested on little Lida, his favourite, who was shaking in the corner, as though she were in a fit, and staring at him with her wondering childish eyes."
Heart of Darkness,Joseph Conrad,https://www.gutenberg.org/files/219/219-h/219-h.htm,"“She came abreast of the steamer, stood still, and faced us. Her long shadow fell to the water’s edge. Her face had a tragic and fierce aspect of wild sorrow and of dumb pain mingled with the fear of some struggling, half-shaped resolve. She stood looking at us without a stir, and like the wilderness itself, with an air of brooding over an inscrutable purpose. A whole minute passed, and then she made a step forward. There was a low jingle, a glint of yellow metal, a sway of fringed draperies, and she stopped as if her heart had failed her."
Great Expectations,Charles Dickens,https://www.gutenberg.org/files/1400/1400-h/1400-h.htm,"“This is a fine place of my son’s, sir,” cried the old man, while I nodded as hard as I possibly could. “This is a pretty pleasure-ground, sir. This spot and these beautiful works upon it ought to be kept together by the Nation, after my son’s time, for the people’s enjoyment.” “You’re as proud of it as Punch; ain’t you, Aged?” said Wemmick, contemplating the old man, with his hard face really softened; “there’s a nod for you;” giving him a tremendous one; “there’s another for you;” giving him a still more tremendous one; “you like that, don’t you? If you’re not tired, Mr. Pip—though I know it’s tiring to strangers—will you tip him one more? You can’t think how it pleases him.”"
Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/files/76/76-h/76-h.htm,"When I got down out of the tree I crept along down the river bank a piece, and found the two bodies laying in the edge of the water, and tugged at them till I got them ashore; then I covered up their faces, and got away as quick as I could. I cried a little when I was covering up Buck’s face, for he was mighty good to me. It was just dark now. I never went near the house, but struck through the woods and made for the swamp. Jim warn’t on his island, so I tramped off in a hurry for the crick, and crowded through the willows, red-hot to jump aboard and get out of that awful country."
The Wonderful Wizard of Oz,L. Frank Baum,https://www.gutenberg.org/files/55/55-h/55-h.htm,"“Thank you,” he answered. “Now, if you will help me sew the silk together, we will begin to work on our balloon.” So Dorothy took a needle and thread, and as fast as Oz cut the strips of silk into proper shape the girl sewed them neatly together. First there was a strip of light green silk, then a strip of dark green and then a strip of emerald green; for Oz had a fancy to make the balloon in different shades of the color about them. It took three days to sew all the strips together, but when it was finished they had a big bag of green silk more than twenty feet long."
"The Count of Monte Cristo, Illustrated",Alexandre Dumas,https://www.gutenberg.org/files/1184/1184-h/1184-h.htm,"The morning’s sun rose clear and resplendent, touching the foamy waves into a network of ruby-tinted light. Various rumors were afloat to the effect that the owners of the Pharaon had promised to attend the nuptial feast; but all seemed unanimous in doubting that an act of such rare and exceeding condescension could possibly be intended. Danglars, however, who now made his appearance, accompanied by Caderousse, effectually confirmed the report, stating that he had recently conversed with Morrel, who had himself assured him of his intention to dine at La Réserve. In fact, a moment later Morrel appeared and was saluted with an enthusiastic burst of applause from the crew of the Pharaon, who hailed the visit of the shipowner as a sure indication that the man whose wedding feast he thus delighted to honor would ere long be first in command of the ship; and as Dantès was universally beloved on board his vessel, the sailors put no restraint on their tumultuous joy at finding that the opinion and choice of their superiors so exactly coincided with their own."
Ulysses,James Joyce,https://www.gutenberg.org/files/4300/4300-h/4300-h.htm,"—Those who are married, Mr Best, douce herald, said, all save one, shall live. The rest shall keep as they are. He laughed, unmarried, at Eglinton Johannes, of arts a bachelor. —You are a delusion, said roundly John Eglinton to Stephen. You have brought us all this way to show us a French triangle. Do you believe your own theory? —No, Stephen said promptly. —Are you going to write it? Mr Best asked. You ought to make it a dialogue, don’t you know, like the Platonic dialogues Wilde wrote. John Eclecticon doubly smiled. —Well, in that case, he said, I don’t see why you should expect payment for it since you don’t believe it yourself."
The Odyssey,Homer,https://www.gutenberg.org/files/1727/1727-h/1727-h.htm,"His son, Theoclymenus, it was who now came up to Telemachus as he was making drink-offerings and praying in his ship. “Friend,” said he, “now that I find you sacrificing in this place, I beseech you by your sacrifices themselves, and by the god to whom you make them, I pray you also by your own head and by those of your followers tell me the truth and nothing but the truth. Who and whence are you? Tell me also of your town and parents.” Telemachus said, “I will answer you quite truly. I am from Ithaca, and my father is Ulysses, as surely as that he ever lived."
The Prophet,Kahlil Gibran,https://www.gutenberg.org/files/58585/58585-h/58585-h.htm,"You have been told that, even like a chain, you are as weak as your weakest link. This is but half the truth. You are also as strong as your strongest link. To measure you by your smallest deed is to reckon the power of ocean by the frailty of its foam. To judge you by your failures is to cast blame upon the seasons for their inconstancy. Ay, you are like an ocean, And though heavy-grounded ships await the tide upon your shores, yet, even like an ocean, you cannot hasten your tides. And like the seasons you are also,"
