book,author,url,excerpt
Pride and Prejudice,Jane Austen,https://www.gutenberg.org/files/1342/1342-h/1342-h.htm,"“And yours,” he replied with a smile, “is willfully to misunderstand them.” “Do let us have a little music,” cried Miss Bingley, tired of a conversation in which she had no share. “Louisa, you will not mind my waking Mr. Hurst?” Her sister had not the smallest objection, and the pianoforte was opened; and Darcy, after a few moments’ recollection, was not sorry for it. He began to feel the danger of paying Elizabeth too much attention. In consequence of an agreement between the sisters, Elizabeth wrote the next morning to their mother, to beg that the carriage might be sent for them in the course of the day."
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/files/84/84-h/84-h.htm,My present situation was one in which all voluntary thought was swallowed up and lost. I was hurried away by fury; revenge alone endowed me with strength and composure; it moulded my feelings and allowed me to be calculating and calm at periods when otherwise delirium or death would have been my portion. And now my wanderings began which are to cease but with life. I have traversed a vast portion of the earth and have endured all the hardships which travellers in deserts and barbarous countries are wont to meet. How I have lived I hardly know; many times have I stretched my failing limbs upon the sandy plain and prayed for death.
Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/files/11/11-h/11-h.htm,"“One side of what? The other side of what?” thought Alice to herself. “Of the mushroom,” said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight. Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question. However, at last she stretched her arms round it as far as they would go, and broke off a bit of the edge with each hand. “And now which is which?” she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent blow underneath her chin: it had struck her foot!"
The Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/files/1661/1661-h/1661-h.htm,"“And how have you succeeded?” “Well.” “You have a clue?” “I have them in the hollow of my hand. Young Openshaw shall not long remain unavenged. Why, Watson, let us put their own devilish trade-mark upon them. It is well thought of!” “What do you mean?” He took an orange from the cupboard, and tearing it to pieces he squeezed out the pips upon the table. Of these he took five and thrust them into an envelope. On the inside of the flap he wrote for Then he sealed it and addressed it to “Captain James Calhoun, Barque Lone Star, Savannah, Georgia.”"
"Moby Dick; Or, The Whale",Herman Melville,https://www.gutenberg.org/files/2701/2701-h/2701-h.htm,"Now comes the Baling of the Case. But to comprehend it aright, you must know something of the curious internal structure of the thing operated upon. *Quoin is not a Euclidean term. It belongs to the pure nautical mathematics. I know not that it has been defined before. A quoin is a solid which differs from a wedge in having its sharp end formed by the steep inclination of one side, instead of the mutual tapering of both sides. I know not with what fine and costly material the Heidelburgh Tun was coated within, but in superlative richness that coating could not possibly have compared with the silken pearl-coloured membrane, like the lining of a fine pelisse, forming the inner surface of the Sperm Whale’s case."
The Prince,Niccolò Machiavelli,https://www.gutenberg.org/files/1232/1232-h/1232-h.htm,"I say, therefore, that in entirely new principalities, where there is a new prince, more or less difficulty is found in keeping them, accordingly as there is more or less ability in him who has acquired the state. Now, as the fact of becoming a prince from a private station presupposes either ability or fortune, it is clear that one or other of these things will mitigate in some degree many difficulties. Nevertheless, he who has relied least on fortune is established the strongest. Further, it facilitates matters when the prince, having no other state, is compelled to reside there in person."
The Picture of Dorian Gray,Oscar Wilde,https://www.gutenberg.org/files/174/174-h/174-h.htm,"“I should have thought they had got tired of that by this time,” said Dorian, pouring himself out some wine and frowning slightly. “My dear boy, they have only been talking about it for six weeks, and the British public are really not equal to the mental strain of having more than one topic every three months. They have been very fortunate lately, however. They have had my own divorce-case and Alan Campbell’s suicide. Now they have got the mysterious disappearance of an artist. Scotland Yard still insists that the man in the grey ulster who left for Paris by the midnight train on the ninth of November was poor Basil, and the French police declare that Basil never arrived in Paris at all."
A Tale of Two Cities,Charles Dickens,https://www.gutenberg.org/files/98/98-h/98-h.htm,"“Will I promise? What will I not promise to my Love?” What, indeed, with his hand putting aside the golden hair from the cheek, and his other hand against the heart that beat for him! “I think, Charles, poor Mr. Carton deserves more consideration and respect than you expressed for him to-night.” “Indeed, my own? Why so?” “That is what you are not to ask me. But I think—I know—he does.” “If you know it, it is enough. What would you have me do, my Life?” “I would ask you, dearest, to be very generous with him always, and very lenient on his faults when he is not by."
Beowulf: An Anglo-Saxon Epic Poem,J. Lesslie Hall,https://www.gutenberg.org/files/16328/16328-h/16328-h.htm,"Geats, Geatmen.—The race to which the hero of the poem belongs. Also called Weder-Geats, or Weders, War-Geats, Sea-Geats. They are ruled by Hrethel, Hæthcyn, Higelac, and Beowulf.—4 7; 7 4; 10 45; 11 8; 27 14; 28 8. Gepids.—Named in connection with the Danes and Swedes.—35 34. Grendel.—A monster of the race of Cain. Dwells in the fens and moors. Is furiously envious when he hears sounds of joy in Hrothgar’s palace. Causes the king untold agony for years. Is finally conquered by Beowulf, and dies of his wound. His hand and arm are hung up in Hrothgar’s hall Heorot. His head is cut off by Beowulf when he goes down to fight with Grendel’s mother.—2 50; 3 1; 3 13; 8 19; 11 17; 12 2; 13 27; 15 3."
The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/64317.html.images,"“Five, with Becker.” His nostrils turned to me in an interested way. “I understand you’re looking for a business gonnegtion.” The juxtaposition of these two remarks was startling. Gatsby answered for me: “Oh, no,” he exclaimed, “this isn’t the man.” “No?” Mr. Wolfshiem seemed disappointed. “This is just a friend. I told you we’d talk about that some other time.” “I beg your pardon,” said Mr. Wolfshiem, “I had a wrong man.” A succulent hash arrived, and Mr. Wolfshiem, forgetting the more sentimental atmosphere of the old Metropole, began to eat with ferocious delicacy. His eyes, meanwhile, roved very slowly all around the room—he completed the arc by turning to inspect the people directly behind."
